track_id,track_name,artist_names,artist_ids,primary_artist,album_name,album_id,album_type,release_date,duration_ms,duration_min,popularity,explicit,preview_url,track_number,disc_number,release_year,track_age_days,artist_popularity,artist_followers,artist_genres,artist_genre_count,time_range,rank,range_key
4sLZsP6wHs0xX4dWCVfVq1,John Cage Bubblegum,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Stereolab,Little Pieces Of Stereolab (A Switched On Sampler),1UP2H3LAUb6y1GO19PES8F,album,2024-03-29,198216,3.3036,29,False,,4,1,2024,515.0,55,388448,"art pop, krautrock, post-rock, neo-psychedelic",4,Last 4 weeks,19,short_term
52pWggDlN5mVeX111i06PP,One Thing Left to Try,MGMT,0SwO7SWeDHJijQ3XNS7xEE,MGMT,Little Dark Age,7GjVWG39IOj4viyWplJV4H,album,2018-02-09,260346,4.3391,45,False,,8,1,2018,2755.0,77,3523351,indie,1,Last 4 weeks,20,short_term
5773KSWFzg9kCc8yazjbSt,Deceptacon,Le Tigre,2n6FviARgtjjimZXu18uRM,Le Tigre,Le Tigre,0dSSZGzoukzrFBnG07J45i,album,1999-10-26,184626,3.0771,78,True,,1,1,1999,9436.0,64,522771,"riot grrrl, queercore, electroclash",3,Last 4 weeks,21,short_term
5M3OJokRysqWyo1ewy8Yox,Моё сердце,Splean,6rdFMVoMSEN4GGX98u6QTj,Splean,25 Кадр,4CVaKIZ1zRUEFMgAKFZ4p3,album,2001,249933,4.16555,46,False,,4,1,2001,,52,526750,Unknown,0,Last 4 weeks,22,short_term
5uYE5AH0kMIlG0du7IBH5H,Чай,Aquarium,3nAumcukmBxn8y7Su8RagW,Aquarium,Синий Альбом,4OGbZiENILnrI90LYTQOJW,album,1981-02-01,139173,2.31955,11,False,,7,1,1981,16277.0,40,119786,art rock,1,Last 4 weeks,23,short_term
6lCqz1ReIrbyWn3eelGCUp,Sadistic,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Stereolab,Refried Ectoplasm [Switched On Volume 2],2rcCkBgoXGGI1gUu3YrrAS,compilation,1995,156213,2.60355,0,False,,11,1,1995,,55,388448,"art pop, krautrock, post-rock, neo-psychedelic",4,Last 4 weeks,24,short_term
6vitrLyJKoMUUC87JsgIAY,x-ray eyes,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,x-ray eyes,0NXggkTAhL1M8NOz7tfzAt,single,2024-11-01,291506,4.858433333333333,39,False,,1,1,2024,298.0,64,1225494,"alternative dance, new rave",2,Last 4 weeks,25,short_term
78swsqNrU8kOj6DMCGqDZa,Affection - Remastered,"Lisa Stansfield, Ian Devaney, Andy Morris","2jS7I1u7BpgWT9ssG62Zr1, 6Ufm4BHf4ZdolpvcvYgH2S, 0A1FSG9WZ2dQ5JSkQYJHIp",Lisa Stansfield,Affection,2NGdpRuh0JgRLrdAK8AyNR,album,1989,342200,5.703333333333333,22,False,,11,1,1989,,57,774221,Unknown,0,Last 4 weeks,26,short_term
7zVfEu1dEvRw4EkWoqrBkx,Say Yes,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,Either/Or,5hryhrT7wEdLnZCbJX9F6L,album,1997-02-25,140626,2.3437666666666668,57,True,,12,1,1997,10409.0,68,1318332,singer-songwriter,1,Last 4 weeks,27,short_term
5x3KFRDMxYUgUlySZEUSOo,Until You're Forever,The Veldt,7hcJOolMkn9jRAAhaVSFnu,The Veldt,Afrodisiac,5ByAKbC8SjGW2HF1q4V4ZD,album,1994-02-08,320200,5.336666666666667,20,False,,9,1,1994,11522.0,24,11464,"shoegaze, dream pop, slowcore",3,Last 4 weeks,28,short_term
