artist_id,artist_name,genres,genre_count,popularity,followers,time_range,rank,range_key
6rdFMVoMSEN4GGX98u6QTj,Splean,Unknown,0,52,526750,Last 6 months,16,medium_term
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,Unknown,0,72,1261045,Last 6 months,17,medium_term
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Unknown,0,92,50100739,Last 6 months,18,medium_term
6IiZemRMna678qNhiRkYI5,Bedouine,Unknown,0,48,106061,Last 6 months,19,medium_term
00pgSmUVlL9A4coAnjPayQ,Bravo,Unknown,0,45,82613,Last 6 months,20,medium_term
2auiVi8sUZo17dLy1HwrTU,Solange,"alternative r&b, neo soul",2,63,2158394,Last 6 months,21,medium_term
5jTtGLk1mGFMY5lQOvJYUj,bôa,Unknown,0,72,1142589,Last 6 months,22,medium_term
3ysp8GwsheDcBxP9q65lBg,Lush,"shoegaze, dream pop, britpop, slowcore",4,48,285142,Last 6 months,23,medium_term
09Wl9YiRr5l1rChWktQD4o,NoSo,Unknown,0,41,38946,Last 6 months,24,medium_term
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,Unknown,0,76,2139776,Last 6 months,25,medium_term
72X6FHxaShda0XeQw3vbeF,Slowdive,"shoegaze, dream pop, slowcore",3,67,1327322,Last 6 months,26,medium_term
4nlqDmbzFzbNITaqjJv7D7,The Sundays,"dream pop, jangle pop",2,66,523908,Last 6 months,27,medium_term
3l0CmX0FuQjFxr8SK7Vqag,Clairo,bedroom pop,1,82,6403913,Last 6 months,28,medium_term
3z6Gk257P9jNcZbBXJNX5i,Regina Spektor,anti-folk,1,63,1440487,Last 6 months,29,medium_term
2KEqzdPS7M5YwGmiuPTdr5,Rina Sawayama,Unknown,0,58,1042455,Last 6 months,30,medium_term
50QfhXI1069kvJI5RPBLM3,AloeVera,Unknown,0,38,36771,Last 6 months,31,medium_term
6hKLYGlOtGVNzZUuvS99Nw,Владимир Высоцкий,Unknown,0,44,115627,Last 6 months,32,medium_term
7FIoB5PHdrMZVC3q2HE5MS,George Harrison,Unknown,0,71,3024949,Last 6 months,33,medium_term
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,new jack swing,1,69,4076221,Last 6 months,34,medium_term
1FdUgjmEeGCpmAxXatjiEG,Cornelia Murr,Unknown,0,45,40475,Last 6 months,35,medium_term
1G0Xwj8mza6b03iYkVdzDP,The Sugarcubes,Unknown,0,46,246229,Last 6 months,36,medium_term
2OIWxN9xUhgUHkeUCWCaNs,Veronica Maggio,swedish pop,1,68,630087,Last 6 months,37,medium_term
6Xb4ezwoAQC4516kI89nWz,Imogen Heap,Unknown,0,78,1070340,Last 6 months,38,medium_term
1Z2KInfSmPOzAIYyiaXeti,Youth Lagoon,"dream pop, chillwave",2,46,227928,Last 6 months,39,medium_term
6oO3QiWdVj5FZQwbdRtsRh,Zemfira,Unknown,0,56,1263446,Last 6 months,40,medium_term
25uiPmTg16RbhZWAqwLBy5,Charli xcx,"hyperpop, art pop",2,87,6028731,Last 6 months,41,medium_term
2LXeJdQVcFkhkWydphLI74,Liz Phair,Unknown,0,49,198024,Last 6 months,42,medium_term
12fRkVfO2fUsz1QHgDAG3g,Julia Jacklin,Unknown,0,54,323049,Last 6 months,43,medium_term
3OCZhm9zNElyNJNrwG9pC4,Mashina Vremeni,Unknown,0,46,191739,Last 6 months,44,medium_term
5szilpXHcwOqnyKLqGco5j,Faye Webster,Unknown,0,75,2061107,Last 6 months,45,medium_term
